"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";"In3.Cu (mm)";"In4.Cu (mm)";"B.Cu (mm)";
128;"/PB10";3;2;1.3590;60.2822;0.0000;61.6412;9.6844;16.3522;0.0000;0.0000;33.7858;0.4599;
129;"/PA5";2;2;1.4940;42.8204;0.0000;44.3144;0.9489;0.0000;0.0000;40.4378;0.0000;1.4336;
130;"/PA13";2;2;0.2700;56.7113;0.0000;56.9813;0.0000;0.0000;0.0000;0.0000;54.7111;2.0002;
132;"Net-(JP1-C)";2;0;0.0000;3.4757;0.0000;3.4757;3.4757;0.0000;0.0000;0.0000;0.0000;0.0000;
133;"/PA8";2;2;1.4940;34.1858;0.0000;35.6798;9.5813;0.0000;22.7284;0.0000;0.0000;1.8761;
136;"/PH6";2;3;2.5830;17.3331;0.0000;19.9161;1.1337;5.1120;7.8669;0.0000;0.0000;3.2205;
142;"Net-(C22-Pad2)";2;0;0.0000;2.2810;0.0000;2.2810;2.2810;0.0000;0.0000;0.0000;0.0000;0.0000;
150;"/PD0";2;2;1.4940;33.3301;0.0000;34.8241;1.4038;31.4665;0.0000;0.0000;0.0000;0.4598;
156;"/PA12";3;1;1.3590;47.0531;0.0000;48.4121;0.0000;44.0182;2.5400;0.0000;0.0000;0.4948;
160;"Net-(JPOWER1-Pin_2)";4;0;0.0000;19.8811;0.0000;19.8811;19.8811;0.0000;0.0000;0.0000;0.0000;0.0000;
170;"/PH12";5;1;1.3590;45.7981;0.0000;47.1571;0.0000;42.1485;0.0000;2.5400;0.0000;1.1096;
172;"/PG7";2;2;1.4940;31.9833;0.0000;33.4773;1.1132;30.4104;0.0000;0.0000;0.0000;0.4597;
180;"/PD5";2;2;2.7180;8.9233;0.0000;11.6413;0.0000;5.8870;0.0000;0.0000;0.0000;3.0363;
183;"/PG5";5;2;1.9035;46.2148;0.0000;48.1183;0.0000;30.9997;12.1662;2.5400;0.0000;0.5089;
184;"/PD4";2;2;2.7180;11.1923;0.0000;13.9103;0.0000;10.1270;0.0000;0.0000;0.0000;1.0652;
187;"/PB14";2;1;0.6795;49.3661;0.0000;50.0456;0.0000;0.0000;0.0000;48.9023;0.0000;0.4638;
188;"/PD7";2;2;1.6290;10.7582;0.0000;12.3872;0.0000;0.0000;7.3789;0.0000;0.0000;3.3794;
193;"Net-(IC1-EN)";7;0;0.0000;34.6144;0.0000;34.6144;34.6144;0.0000;0.0000;0.0000;0.0000;0.0000;
194;"Net-(D1-A)";5;0;0.0000;27.6017;0.0000;27.6017;27.6017;0.0000;0.0000;0.0000;0.0000;0.0000;
195;"Net-(IC1-OUT)";5;0;0.0000;27.8363;0.0000;27.8363;27.8363;0.0000;0.0000;0.0000;0.0000;0.0000;
